title,type,genres,imdb_score,tmdb_popularity
Five Came Back: The Reference Films,SHOW,['documentation'],,0.6
Taxi Driver,MOVIE,"['drama', 'crime']",8.2,40.965
Deliverance,MOVIE,"['drama', 'action', 'thriller', 'european']",7.7,10.01
Monty Python and the Holy Grail,MOVIE,"['fantasy', 'action', 'comedy']",8.2,15.461
The Dirty Dozen,MOVIE,"['war', 'action']",7.7,20.398
Monty Python's Flying Circus,SHOW,"['comedy', 'european']",8.8,17.617
Life of Brian,MOVIE,['comedy'],8.0,17.77
Dirty Harry,MOVIE,"['thriller', 'action', 'crime']",7.7,12.817
Bonnie and Clyde,MOVIE,"['crime', 'drama', 'action']",7.7,15.687
The Blue Lagoon,MOVIE,"['romance', 'action', 'drama']",5.8,50.324
The Guns of Navarone,MOVIE,"['action', 'drama', 'war']",7.5,13.844
The Professionals,MOVIE,"['western', 'action', 'european']",7.3,13.123
Richard Pryor: Live in Concert,MOVIE,"['comedy', 'documentation']",8.1,4.718
White Christmas,MOVIE,"['romance', 'comedy']",7.5,8.915
Cairo Station,MOVIE,"['drama', 'crime', 'comedy']",7.5,5.546
Hitler: A Career,MOVIE,"['history', 'documentation', 'european']",7.5,4.305
FTA,MOVIE,"['war', 'documentation', 'music', 'comedy']",6.2,1.268
Alexandria… Why?,MOVIE,['drama'],7.2,1.37
The Land,MOVIE,['drama'],8.1,1.265
Dostana,MOVIE,"['drama', 'comedy', 'crime', 'romance', 'action']",2.1,3.98
Saladin the Victorious,MOVIE,"['action', 'drama', 'war', 'history', 'romance']",7.6,4.156
Alibaba Aur 40 Chor,MOVIE,"['drama', 'romance', 'action', 'fantasy', 'family']",6.2,2.582
The Blazing Sun,MOVIE,"['crime', 'romance', 'drama']",7.4,2.184
Dark Waters,MOVIE,"['action', 'drama', 'romance', 'thriller']",6.7,0.849
We Are All for the Fatherland,MOVIE,['documentation'],6.1,0.6
Singapore,MOVIE,"['drama', 'thriller', 'crime']",6.4,0.792
Monty Python's Fliegender Zirkus,SHOW,['comedy'],8.1,1.487
"Beirut, Oh Beirut",MOVIE,['drama'],6.4,1.025
The Return of the Prodigal Son,MOVIE,"['music', 'drama', 'crime']",7.2,1.858
Khoon Khoon,MOVIE,"['crime', 'thriller']",5.1,1.948
Manoranjan,MOVIE,"['romance', 'drama', 'comedy']",6.5,1.532
